monastery,geometry,foundingYear,wikidata_entry
Zisterzienserabtei Riddagshausen,Point(10.5773 52.2674),1101,http://www.wikidata.org/entity/Q896558
Zisterzienserinnenkloster Heydau (auch Haydau),Point(9.61783 51.0662),1235,http://www.wikidata.org/entity/Q892609
Zisterzienserabtei Himmelpfort,Point(13.2293 53.1778),1299,http://www.wikidata.org/entity/Q935936
Zisterzienserabtei Neuzelle,Point(14.6522 52.0906),1268,http://www.wikidata.org/entity/Q895757
Benediktinerkloster Aura an der Saale,Point(10.0076 50.1671),1108,http://www.wikidata.org/entity/Q883052
"Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift",Point(9.91431 52.1139),1125,http://www.wikidata.org/entity/Q896113
Franziskanerkirche,Point(10.1764 49.3767),1201,http://www.wikidata.org/entity/Q884008
St. Ulrich im Schwarzwald,Point(7.83763 47.90797),1080,http://www.wikidata.org/entity/Q895685
Kloster Kamp,Point(6.51623 51.5023),1101,http://www.wikidata.org/entity/Q896699
Dominikanerinnenkloster Kirchberg,Point(8.73278 48.3581),1237,http://www.wikidata.org/entity/Q882051
Kloster Wettenhausen,Point(10.3588 48.3965),1101,http://www.wikidata.org/entity/Q881177
Benediktinerkloster Weihenstephan,Point(11.729302802 48.394897626),801,http://www.wikidata.org/entity/Q882703
"Birgittenkloster, zuvor Benediktinerkloster Altomünster",Point(11.2565 48.3886),750,http://www.wikidata.org/entity/Q881844
Kanonissenstift Lindau,Point(9.6875 47.546666666),1466,http://www.wikidata.org/entity/Q881597
Augustinerchorherrenstift Rohr,Point(11.966944444 48.768888888),1101,http://www.wikidata.org/entity/Q881499
Zisterzienserkloster Arnsburg,Point(8.79212 50.4937),1101,http://www.wikidata.org/entity/Q882370
Augustinerchorherrenstift Heidenfeld,Point(10.201441666 49.96495),1069,http://www.wikidata.org/entity/Q881040
Augustinerchorherrenstift Heidenfeld,Point(10.201509933 49.964983782),1069,http://www.wikidata.org/entity/Q881040
Prämonstratenserstift Grobe (Usedom),Point(13.926202777 53.862447222),1101,http://www.wikidata.org/entity/Q882504
"Kollegiatstift Isen, zuvor Benediktinerkloster",Point(12.0578 48.2122),701,http://www.wikidata.org/entity/Q882610
Benediktinerkloster Rinchnach,Point(13.200450469 48.949498265),1001,http://www.wikidata.org/entity/Q882243
Kloster Rott,Point(12.1293 47.9825),1001,http://www.wikidata.org/entity/Q881370
Benediktinerabtei Prüfening,Point(12.045555555 49.009166666),1119,http://www.wikidata.org/entity/Q881589
Kloster Wettenhausen,Point(10.358853598 48.396943783),1101,http://www.wikidata.org/entity/Q881177
Benediktinerkloster Weihenstephan,Point(11.728333333 48.395138888),801,http://www.wikidata.org/entity/Q882703
Kloster St. Trudpert,Point(7.8032 47.8638),900,http://www.wikidata.org/entity/Q882961
Benediktinerkloster Rinchnach,Point(13.200277777 48.949444444),1001,http://www.wikidata.org/entity/Q882243
Benediktinerkloster Scheyern,Point(11.453130928 48.5023203),1101,http://www.wikidata.org/entity/Q881489
"Kollegiatstift Harsefeld, später Benediktiner",Point(9.50167 53.4539),997,http://www.wikidata.org/entity/Q1775299
Benediktinerinnenkloster Hadmersleben,Point(11.295031 51.991804),961,http://www.wikidata.org/entity/Q1775292
Kapuzinerkloster Gößweinstein (später Franziskaner),Point(11.3371 49.7701),1739,http://www.wikidata.org/entity/Q1775294
Paulinerkloster Grünwald (Lenzkirch),Point(8.24026108 47.84202395),1360,http://www.wikidata.org/entity/Q1775283
Zisterzienserabtei Hardehausen,Point(8.998963888 51.549733333),1140,http://www.wikidata.org/entity/Q1775300
Kloster Gotteszell,Point(9.811 48.8046),1240,http://www.wikidata.org/entity/Q1775278
Benediktinerpropstei Hagenrode,Point(11.1176 51.6552),1179,http://www.wikidata.org/entity/Q1775295
Dominikanerinnenkloster Hedingen,Point(9.22361 48.0819),1338,http://www.wikidata.org/entity/Q1775304
"Benediktinerkloster Michelsberg, Bamberg",Point(10.877222222 49.893611111),1015,http://www.wikidata.org/entity/Q555168
Zisterzienserabtei Bebenhausen,Point(9.06072 48.56137),1101,http://www.wikidata.org/entity/Q518676
Benediktinerabtei St. Blasien,Point(8.13 47.76),1000,http://www.wikidata.org/entity/Q532367
Kartäuserkloster Nürnberg,Point(11.0764 49.4481),1301,http://www.wikidata.org/entity/Q549878
"Benediktinerkloster Benediktbeuern, zeitweise Doppelkloster",Point(11.399005363 47.707774256),701,http://www.wikidata.org/entity/Q533082
Benediktinerabtei Grafschaft,Point(8.3241 51.1444),1001,http://www.wikidata.org/entity/Q543879
Benediktinerabtei Hirsau,Point(8.7321 48.7378),801,http://www.wikidata.org/entity/Q532415
Klösterlein Zelle,Point(12.693055555 50.598055555),1101,http://www.wikidata.org/entity/Q537738
Reichsabtei Ochsenhausen,Point(9.95139 48.0642),1093,http://www.wikidata.org/entity/Q561312
Benediktinerkloster Kastl,Point(11.6833 49.3692),1101,http://www.wikidata.org/entity/Q511312
"Benediktinerinnenkloster Rupertsberg, Bingen",Point(7.8892 49.9658),1152,http://www.wikidata.org/entity/Q557972
"Kollegiatstift, später Augustinerchorherrenstift zur Sülte, Hildesheim",Point(9.95747 52.1558),1029,http://www.wikidata.org/entity/Q2382011
Stiftskirche Hechingen,Point(8.96352 48.3517),1780,http://www.wikidata.org/entity/Q2348763
Wirberg,Point(8.90662 50.6046),1101,http://www.wikidata.org/entity/Q2585534
St. Veit,Point(11.7378 48.3977),1020,http://www.wikidata.org/entity/Q2323507
