monastery,location,wikidata_entry
Augustinerkloster Breisach,Point(7.57665822 48.03266527),http://www.wikidata.org/entity/Q28976929
Augustinerinnenkloster Giengen,Point(10.24260073 48.62112927),http://www.wikidata.org/entity/Q28976805
"Augustinerinnenkloster St. Anna zum grünen Wald, Freiburg",Point(7.85174484 47.99403),http://www.wikidata.org/entity/Q28976916
Augustinerchorfrauenstift Rastatt,Point(8.20675141 48.8558335),http://www.wikidata.org/entity/Q28976848
Augustinerinnenkloster Calw,Point(8.73788223 48.71530105),http://www.wikidata.org/entity/Q28976889
Augustinerchorfrauenstift Handschuhsheim,Point(8.68817 49.40217),http://www.wikidata.org/entity/Q28976867
Augustinerchorfrauen vom Heiligen Grab Baden-Baden,Point(8.24281078 48.76343599),http://www.wikidata.org/entity/Q28976826
Augustinerchorfrauenstift Breisach,Point(7.57681871 48.03121926),http://www.wikidata.org/entity/Q28976928
Augustinerchorherrenstift Steinheim,Point(10.07022247 48.68693454),http://www.wikidata.org/entity/Q28976809
"Augustinerchorherrenstift auf dem Petersberg, Goslar",Point(10.4463 51.9106),http://www.wikidata.org/entity/Q2316668
"Augustinerchorfrauenstift St. Barbara, Euskirchen-Stotzheim",Point(6.78683 50.65717),http://www.wikidata.org/entity/Q28978335
Augustinereremitenkloster Lippstadt,Point(8.348046 51.676477),http://www.wikidata.org/entity/Q28978379
Augustinerchorfrauenstift Lippstadt,Point(8.34005 51.67529),http://www.wikidata.org/entity/Q28978378
Augustinerchorfrauenstift Obernkirchen,Point(9.127488888 52.269211111),http://www.wikidata.org/entity/Q19309565
Augustinerchorfrauenstift Lübeck,Point(10.68964722 53.86238333),http://www.wikidata.org/entity/Q18674701
Augustinerchorfrauenstift St. Peter in Kreuznach,Point(7.85327778 49.83733333),http://www.wikidata.org/entity/Q18286283
Augustinerinnenkloster St. Katharina bei Konstanz,Point(9.173 47.69683333),http://www.wikidata.org/entity/Q19963227
Augustinerkloster Germershausen,Point(10.193045 51.565121),http://www.wikidata.org/entity/Q22691217
"Augustinerchorherrenstift Mariensande (Maria in arena oder Zandt), Straelen, Niederlande",Point(6.26824 51.43503),http://www.wikidata.org/entity/Q20870978
Augustinerinnenkloster St. Katharina bei Konstanz,Point(9.1692517 47.71307681),http://www.wikidata.org/entity/Q19963227
Augustinerchorfrauenstift Duderstadt,Point(10.246212 51.516702),http://www.wikidata.org/entity/Q28981573
Augustinerinnenkloster Niederbergheim,Point(8.225215 51.477433),http://www.wikidata.org/entity/Q28981696
"Schwesternhaus Vechta, später Augustinerinnen",Point(8.286258 52.726919),http://www.wikidata.org/entity/Q28980816
Kanonissen- / Augustinerchorfrauenstift Heiningen,Point(10.556222 52.071278),http://www.wikidata.org/entity/Q28980790
"Augustinerinnenkloster Marienstätte/Dumstorping, Osnabrück",Point(8.03917 52.274),http://www.wikidata.org/entity/Q28980342
"Augustinerinnenkloster Mariengarten, Verden",Point(9.22695 52.923641),http://www.wikidata.org/entity/Q28980895
