brewery,geometry,foundingYear,wikidata-entry
Dortmunder Union-Brauerei,Point(7.45333 51.5147),,http://www.wikidata.org/entity/Q1250816
Schuchmann’sche Brauerei,Point(9.19364 49.1335),,http://www.wikidata.org/entity/Q2250646
Lommerzheim,Point(6.97364 50.9386),,http://www.wikidata.org/entity/Q1751104
Krongut Bornstedt,Point(13.0309 52.4085),,http://www.wikidata.org/entity/Q896511
Actien-Brauerei Homburg v. d. Höhe,Point(8.6126 50.2319),,http://www.wikidata.org/entity/Q343264
Lenzei,Point(9.04964 48.5203),,http://www.wikidata.org/entity/Q14947900
Altes Brauhaus,Point(10.181281793 49.375473053),,http://www.wikidata.org/entity/Q2651633
Sudhaus,Point(9.258289756 49.702154293),,http://www.wikidata.org/entity/Q98496690
Baudenkmal D-4-63-000-877 in Coburg im Ortsteil Coburg,Point(10.96597066 50.261600815),,http://www.wikidata.org/entity/Q98576609
Baudenkmal D-5-64-000-445 in Nürnberg im Ortsteil Nürnberg-Lorenz,Point(11.072240693 49.448195164),,http://www.wikidata.org/entity/Q98606539
Teil von Baudenkmal D-5-76-121-18 in Georgensgmünd im Ortsteil Georgensgmünd,Point(11.014341265 49.188148708),,http://www.wikidata.org/entity/Q98141788
Brauerei An der Ebrach 6 in Hirschaid (D-4-71-145-19#5),Point(10.953647969 49.807356456),,http://www.wikidata.org/entity/Q98587858
Hofbrauhaus Am Hofbräuhaus 1; Am Hofbräuhaus 3 in Coburg (D-4-63-000-371#6),Point(10.956845784 50.254383301),,http://www.wikidata.org/entity/Q98587027
Brauerei Letzguss,Point(9.270863673 49.39145298),,http://www.wikidata.org/entity/Q95224618
Brauerei Nähe Obere Dorfstraße in Guttenberg (Oberfranken) (D-4-77-118-11#1),Point(11.565978115 50.153594705),,http://www.wikidata.org/entity/Q98587859
Ehem. Brauereigebäude in Ottensoos,Point(11.342498386 49.509060101),,http://www.wikidata.org/entity/Q41390998
Sudhaus Hutgasse 2 in Pappenheim (D-5-77-158-145#1),Point(11.035544272 48.928415981),,http://www.wikidata.org/entity/Q98621438
Brauereikeller In Nemmersdorf in Goldkronach (D-4-72-143-45#3),Point(11.688022714 49.994400715),,http://www.wikidata.org/entity/Q98583191
Ehemaliger Brauereihof,Point(10.162407697 49.738144595),,http://www.wikidata.org/entity/Q41352020
Brauhaus Obere Sandstraße 20 in Bamberg (D-4-61-000-1146#1),Point(10.883708711 49.892276517),,http://www.wikidata.org/entity/Q98587031
Klosterbrauerei Concordiastraße 11 in Bamberg (D-4-61-000-72#1),Point(10.887579413 49.888913486),,http://www.wikidata.org/entity/Q98587863
Schloss Sattelpeilnstein,Point(12.664817935 49.129312976),,http://www.wikidata.org/entity/Q19308718
Baudenkmal D-4-63-000-371 in Coburg im Ortsteil Coburg,Point(10.956906582 50.254161772),,http://www.wikidata.org/entity/Q98581806
Ehemalige Brauerei,Point(11.130207819 49.047875354),,http://www.wikidata.org/entity/Q41371661
Brauhaus Hauptstraße 16; Hauptstraße 20 in Burgkunstadt (D-4-78-116-92#4),Point(11.244662671 50.1620274),,http://www.wikidata.org/entity/Q98587029
Brauhaus Hauptstraße 19 in Memmelsdorf (D-4-71-159-8#1),Point(10.95256828 49.93324637),,http://www.wikidata.org/entity/Q98587018
Ehemaliges Brauerei- und Metzgeranwesen in Lauf an der Pegnitz,Point(11.28227 49.51198),,http://www.wikidata.org/entity/Q41391214
