monastery,location,wikidata_entry
"Kanonissenstift Bassum, später Benediktinerinnen",Point(8.723665 52.844778),http://www.wikidata.org/entity/Q19309563
"Benediktinerkloster St. Jakob, Mainz",Point(8.27417 49.9931),http://www.wikidata.org/entity/Q17300308
Benediktinerinnenkloster Bonn-Schwarzrheindorf,Point(7.114967 50.750687),http://www.wikidata.org/entity/Q28978331
"Benediktinerpropstei Apollinarisberg, Remagen",Point(7.221262 50.581),http://www.wikidata.org/entity/Q28978024
Benediktinerinnenkloster Brunnenburg,Point(7.910556 50.311944),http://www.wikidata.org/entity/Q28978035
Benediktinerpropstei Betberg,Point(7.66128014 47.8533543),http://www.wikidata.org/entity/Q28976942
Benediktinerpropstei Bauerbach,Point(8.7395 49.07217),http://www.wikidata.org/entity/Q28976834
Benediktinerinnenpriorat Bollschweil,Point(7.78768943 47.91994634),http://www.wikidata.org/entity/Q28976933
Benediktinerinnenkloster Jagstzell,Point(10.09784629 49.03060856),http://www.wikidata.org/entity/Q28976815
Benediktinerabtei Anhausen,Point(10.1496724 48.61815618),http://www.wikidata.org/entity/Q28976807
Benediktinerkloster (?) Enzklösterle,Point(8.47166244 48.6678979),http://www.wikidata.org/entity/Q28976892
Benediktinerpropstei Hohenberg,Point(10.04083718 49.00256004),http://www.wikidata.org/entity/Q28976816
Benediktinerpriorat Grüningen,Point(7.64638653 47.9839608),http://www.wikidata.org/entity/Q28976931
Benediktinerpropstei Wippertskirch,Point(7.70995886 48.01221319),http://www.wikidata.org/entity/Q28976924
"Benediktinerpriorat St. Nikolaus, Rippoldsau",Point(8.33001619 48.42674866),http://www.wikidata.org/entity/Q28976901
Benediktinerinnenkloster Giengen,Point(10.24522679 48.6214606),http://www.wikidata.org/entity/Q28976804
Benediktinerabtei Gottesaue,Point(8.42733025 49.00450269),http://www.wikidata.org/entity/Q28976829
Benediktinerkloster Klostermansfeld,Point(11.497174 51.58418),http://www.wikidata.org/entity/Q28977498
Benediktinerinnenkloster Eibingen,Point(7.928056 49.9925),http://www.wikidata.org/entity/Q28977523
Benediktinerinnenkloster Mosbach,Point(9.029196664 49.89186462),http://www.wikidata.org/entity/Q28977519
Benediktinerabtei Memleben,Point(11.497458 51.266417),http://www.wikidata.org/entity/Q28977496
Benediktinerinnenkloster Kreuzberg,Point(10.00458207 50.84197031),http://www.wikidata.org/entity/Q28977522
Benediktinerkloster Goseck,Point(11.875448 51.192443),http://www.wikidata.org/entity/Q28977487
"Augustinerchorherrenstift Hedersleben, zuvor Benediktinerinnenkloster",Point(11.6505 51.54317),http://www.wikidata.org/entity/Q28977462
Benediktinerinnenkloster Michelstadt-Steinbach,Point(8.9967 49.6875),http://www.wikidata.org/entity/Q28977528
Benediktinerkloster Bleidenstadt,Point(8.137214273 50.13988711),http://www.wikidata.org/entity/Q28977513
"Benediktinerkloster, später Prämonstratenserstift Cölbigk",Point(11.655638 51.799159),http://www.wikidata.org/entity/Q28977480
Benediktinerinnenkloster Walsdorf,Point(8.279763679 50.27001271),http://www.wikidata.org/entity/Q28977531
Kollegiatstift Bibra (gegründet als Benediktinerkloster),Point(11.580606 51.205203),http://www.wikidata.org/entity/Q28977508
Benediktinerkloster Abterode,Point(9.936391842 51.21040935),http://www.wikidata.org/entity/Q28977499
Benediktinerinnenkloster Holzzelle (Hornburg),Point(11.587 51.453),http://www.wikidata.org/entity/Q28977485
Benediktinerpropstei Stein,Point(9.66419462 49.29062994),http://www.wikidata.org/entity/Q28977388
"Kanonissenstift Gerbstedt, später Benediktinerinnenkloster",Point(11.628679 51.631596),http://www.wikidata.org/entity/Q28977478
