monastery,location,wikidata_entry
"Augustinerchorfrauenstift Derneburg (später Zisterzienserinnen, dann Zisterzienser)",Point(10.13356 52.09541),http://www.wikidata.org/entity/Q28979510
"Zisterzienserinnenkloster St. Martini, Erfurt",Point(11.02467 50.97283),http://www.wikidata.org/entity/Q28981419
Zisterzienserinnenkloster Hedersleben,Point(11.248027 51.859804),http://www.wikidata.org/entity/Q28981500
"Zisterzienserinnenkloster St. Katharina, Bremen",Point(8.808605 53.077866),http://www.wikidata.org/entity/Q28981263
"Zisterzienserinnenkloster Himmelgarten, Alzey",Point(8.107978551 49.74375444),http://www.wikidata.org/entity/Q28981307
"Zisterzienserinnenkloster Frauenkron, Dahlem",Point(6.431975633 50.370977052),http://www.wikidata.org/entity/Q28981451
Zisterzienserinnenkloster Gotha,Point(10.695402904 50.950632351),http://www.wikidata.org/entity/Q28981468
"Zisterzienserinnenkloster Paderborn, später Benediktinerinnen, gen. Gaukirchkloster",Point(8.7563 51.71819),http://www.wikidata.org/entity/Q28982039
"Zisterzienserkloster St. Johannisthal, Eisenach",Point(10.308824181 50.975974437),http://www.wikidata.org/entity/Q28981390
Zisterzienserinnenkloster Hedersleben,Point(11.248005191 51.859753568),http://www.wikidata.org/entity/Q28981500
"Zisterzienserinnen-, später Zisterzienserkloster Segenstal, Vlotho",Point(8.8616 52.167026),http://www.wikidata.org/entity/Q28982577
"Zisterzienserinnenkloster St. Maria Heidesheim, Obrigheim (Pfalz)",Point(8.197195 49.584057),http://www.wikidata.org/entity/Q28981516
"Abtei- und Klostergebäude des ehemaligen Zisterzienserklosters, heute Jugendstrafanstalt",Point(10.494350847 49.84697745),http://www.wikidata.org/entity/Q41370491
"Ehemalige Zisterzienserinnenklosterkirche, heute katholische Pfarrkirche Heilige Dreifaltigkeit",Point(10.91033 49.79107),http://www.wikidata.org/entity/Q41397486
"Zisterzienserinnenkloster Heilsbruck St. Maria, Harthausen, später Watzenhofen",Point(8.114924 49.283353),http://www.wikidata.org/entity/Q19758177
