place_name,feature_type,latitude,longitude
Old Mexico,,38.11971,-108.81455
Old Pennsylvania Road,,40.42896,-79.23253
Oley,,40.38759,-75.78964
Oneida,,43.09257,-75.65129
Oneida Lake,,43.2032,-75.90984
Onengo,,38.6389,-97.98644
Onondaga Town,,43.1334,-80.11635
Ontario,,49.25014,-84.49983
Orford,,45.38314,-72.20069
Oswego,,37.16757,-95.10996
Oswego,,43.06681,-80.11635
Oswego,,43.45535,-76.5105
Oswego River,H,39.6581,-74.5277
Ottawa Channel,,42.93558,-86.06671
Owego,,42.27944,-96.15446
Owego,,42.10341,-76.26215
Owego River,H,43.46507,-76.51383
Owenachki,,38.45812,-85.5419
Owl Creek,H,49.40011,-88.63335
Oxford,,43.13339,-80.83301
Paint Creek,H,42.65289,-81.74978
Paint River,H,45.96384,-88.24513
Painted Post,,42.16202,-77.09414
Partners,,41.68952,-75.68741
Paxtang,,40.25898,-76.83192
Pennsbury Manor,,40.13372,-74.76877
Perth Amboy,,40.50677,-74.26542
Petquotting Creek,H,41.3981,-82.54906
Petquotting River,H,46.90992,-88.03679
Philadelphia,,39.95238,-75.16362
Pickaway Plains,,39.54173,-82.99157
Pigeon Roost,,34.69231,-83.97797
Pinery,,45.31566,-78.13431
Pipe Creek,H,41.44727,-82.6649
Pittsburg,,39.94677,-76.40302
Pittsburgh,,40.44062,-79.99589
Plains,,27.40948,-81.18423
Pohopoco Creek,H,40.81565,-75.67241
Point Pleasant,S,39.28481,-80.48676
Pommern,,50.16667,7.28333
Potomac River,H,46.22256,-82.98847
Poughkeepsie,,41.70037,-73.92097
Presqu' Isle,,42.16311,-80.10117
Princeton,,40.34872,-74.65905
Province Island,,39.88539,-75.22907
Put in Bay,H,37.41347,-76.3405
Quebec,,52.00017,-71.99907
Queenston,,43.16682,-79.04957
Race Hill,T,41.36704,-72.66371
Ravenna,,41.15756,-81.24205
Reading,,40.33565,-75.92687
Red Hook,,41.99509,-73.87541
Redding,,41.3026,-73.38345
Redstone,,40.0748,-79.80365
Rhinebeck,,41.92676,-73.91264
Rhode Island,,41.55566,-71.26422
River Rouge,H,42.28809,-83.1027
Rixdorf,,54.20735,10.42434
Rocky Hill,T,40.379,-74.65933
Rocky River,H,41.49116,-81.8393
Ronneburg,,50.8634,12.18666
Rush Creek,H,39.62229,-82.54877
Saddle,,47.73319,-52.76475
Saginaw,,43.41947,-83.95081
Salem,,35.69874,-81.69704
Salem,,39.68257,-82.33543
Salisbury,,41.98343,-73.42123
Salisbury,,39.75286,-79.08086
Salt Creek,H,39.86618,-81.90041
Salt River,H,42.65337,-82.78492
Salt Spring,,39.11255,-90.65457
Saltlick,,48.8209,-88.76867
Sandusky,,41.44894,-82.70796
Sandusky Bay,H,41.47894,-82.8413
Sandusky Plains,,40.75061,-83.24853
Sandusky River,H,41.44783,-83.00269
Sandwich,,42.28318,-83.05925
Sandy Creek,H,40.65784,-81.43734
Sarepta,,48.51662,44.53239
Saxony,,33.98623,-82.89209
Scha-mung,,42.91679,-81.41646
Schenectady,,42.81424,-73.93957
Schoharie,,42.66591,-74.30958
Schuylkill River,H,39.88525,-75.19465
Scioto River,H,38.73063,-83.01267
Scotland,,43.0168,-80.36637
Seabrook,,42.89481,-70.87116
Shamokin,,40.78897,-76.55885
Shamokin Creek,H,40.84175,-76.80552
Shamokin Island,,40.78897,-76.55885
Sharon,,39.73618,-81.5654
Sharon,,41.87926,-73.47679
Shawnee Town,,39.07699,-94.70478
Sheffield,,42.11037,-73.35511
Shekomeko,,41.92815,-73.59901
Shenango,,48.38342,-82.69979
Shippensburg,,40.05065,-77.52026
